timestamp_sec,emotion,confidence
0.0,surprise,42.024372
0.5,happy,99.70662
1.0,happy,66.99342
1.5,neutral,80.64375
2.0,happy,97.7815
2.5,happy,99.136925
3.0,happy,99.95639
3.5,happy,50.682613
4.0,angry,99.4139
4.5,happy,99.77432
5.0,neutral,70.33943
5.5,happy,99.99095
6.0,fear,56.486095
6.5,fear,62.661854
7.0,happy,99.29179
7.5,happy,90.635345
8.0,sad,56.15671
8.5,angry,69.72019
9.0,angry,57.19885
9.5,happy,47.936493
10.0,happy,97.46721
10.5,angry,93.95162
11.0,neutral,60.181664
11.5,angry,91.3997
12.0,fear,35.543182
12.5,angry,98.87696
13.0,happy,99.978905
13.5,angry,85.709145
14.0,happy,99.98385
14.5,angry,53.896004
15.0,happy,99.93185
15.5,happy,99.895386
16.0,happy,73.36412
16.5,happy,97.64855
17.0,happy,57.890896
17.5,happy,84.61098
18.0,sad,60.384144
18.5,surprise,42.198433
19.0,sad,57.163094
19.5,sad,63.29549
20.0,happy,69.54734
20.5,angry,99.903786
21.0,angry,93.71066
21.5,fear,37.08624
22.0,sad,49.57202
22.5,angry,94.68093
23.0,sad,83.103
23.5,sad,41.144676
24.0,sad,76.225266
24.5,sad,76.00307
25.0,sad,52.307625
25.5,happy,99.9073
26.0,angry,85.40321
26.5,angry,41.4812
27.0,neutral,99.701355
27.5,angry,84.81407
28.0,sad,64.67192
28.5,angry,83.31019
29.0,angry,58.282234
29.5,happy,99.6943
30.0,angry,97.87552
30.5,neutral,57.749058
31.0,angry,96.24114
31.5,neutral,81.87097
32.0,angry,81.66976
32.5,neutral,62.176685
33.0,neutral,98.299324
33.5,angry,62.411827
34.0,angry,86.46121
34.5,sad,63.679295
35.0,sad,29.464203
35.5,angry,50.841427
36.0,sad,52.98269
36.5,sad,40.029354
37.0,sad,72.95428
37.5,sad,51.49347
38.0,happy,92.43201
38.5,angry,69.09671
39.0,sad,57.392475
39.5,happy,98.52233
40.0,angry,98.54128
40.5,happy,80.02863
41.0,angry,99.49692
41.5,angry,94.44016
42.0,angry,53.62021
42.5,angry,85.18975
43.0,angry,64.82272
43.5,angry,99.10667
44.0,sad,57.996178
44.5,sad,30.530394
45.0,angry,89.69212
45.5,angry,51.918644
46.0,fear,92.207855
46.5,neutral,77.62527
