timestamp_sec,emotion,confidence
0.0,happy,97.873184
0.5,happy,50.577194
1.0,neutral,91.28678
1.5,fear,75.17079
2.0,happy,61.872932
2.5,happy,98.555695
3.0,sad,62.74812
3.5,happy,99.06906
4.0,happy,99.25086
4.5,happy,55.688866
5.0,happy,96.98364
5.5,fear,83.77438
6.0,neutral,72.08544
6.5,happy,83.96679
7.0,happy,98.826996
7.5,sad,74.42321
8.0,surprise,90.57753
8.5,happy,98.526085
9.0,happy,99.24637
9.5,happy,99.117645
10.0,fear,79.91438
10.5,neutral,91.77068
11.0,happy,68.445465
11.5,happy,99.97422
12.0,sad,46.769085
12.5,angry,89.04293
13.0,sad,47.16996
13.5,angry,58.057533
14.0,fear,58.94817
14.5,neutral,72.78999
15.0,angry,83.58828
15.5,angry,99.4439
16.0,angry,60.32189
16.5,neutral,90.4698
17.0,sad,88.230606
17.5,neutral,97.41064
18.0,neutral,48.7616
18.5,fear,86.211494
19.0,fear,74.51518
19.5,neutral,70.39219
20.0,fear,86.26745
20.5,fear,52.167614
21.0,angry,72.529335
21.5,angry,91.601715
22.0,angry,93.644165
22.5,angry,81.313934
23.0,sad,72.31903
23.5,sad,51.280342
24.0,fear,49.34504
24.5,surprise,62.208748
25.0,sad,91.129036
25.5,sad,59.511684
26.0,angry,84.06866
26.5,angry,86.46497
27.0,angry,68.76875
27.5,angry,99.66126
28.0,neutral,84.26626
28.5,angry,99.76587
29.0,surprise,98.748695
29.5,fear,55.735332
30.0,neutral,82.52931
30.5,surprise,50.997326
31.0,fear,52.921013
31.5,fear,72.31126
32.0,neutral,99.11999
32.5,angry,47.754364
33.0,angry,98.97083
33.5,angry,77.182556
34.0,angry,85.40172
34.5,sad,91.6118
35.0,sad,81.95849
35.5,sad,66.115395
36.0,sad,96.95268
36.5,angry,96.86363
37.0,angry,81.53869
37.5,angry,60.711185
38.0,surprise,71.33637
38.5,angry,98.91063
39.0,angry,99.96589
39.5,neutral,62.867558
40.0,fear,53.379276
40.5,angry,50.607067
41.0,sad,42.783047
41.5,sad,43.86712
42.0,fear,62.21458
42.5,fear,71.256714
43.0,angry,97.68614
43.5,angry,95.91877
44.0,angry,87.1095
44.5,angry,97.117004
45.0,angry,96.3099
45.5,angry,80.108406
46.0,angry,84.119286
46.5,angry,54.81365
47.0,happy,64.871056
47.5,happy,96.52049
48.0,fear,81.2168
48.5,angry,86.28537
49.0,angry,94.09131
49.5,fear,85.25074
50.0,sad,75.88021
50.5,sad,47.102535
51.0,sad,79.1543
51.5,sad,87.30653
52.0,sad,50.69446
52.5,sad,92.46058
53.0,sad,53.57285
53.5,neutral,65.831154
54.0,surprise,84.697945
54.5,neutral,98.00645
