timestamp_sec,emotion,confidence
0.0,happy,98.75726
0.5,happy,99.37549
1.0,happy,93.16832
1.5,fear,93.098335
2.0,happy,96.043495
2.5,neutral,94.04255
3.0,happy,85.466705
3.5,happy,82.382935
4.0,happy,99.650024
4.5,neutral,58.985138
5.0,happy,99.242424
5.5,happy,63.78567
6.0,happy,78.19817
6.5,neutral,83.690895
7.0,fear,70.09121
7.5,neutral,87.93743
8.0,surprise,94.172676
8.5,happy,72.13249
9.0,happy,74.5021
9.5,angry,41.03281
10.0,happy,99.82378
10.5,neutral,87.82206
11.0,happy,90.83582
11.5,neutral,77.18343
12.0,neutral,65.77044
12.5,neutral,99.236916
13.0,fear,36.942406
13.5,surprise,56.355022
14.0,happy,65.86403
14.5,happy,90.39188
15.0,fear,93.32234
15.5,happy,83.75666
16.0,happy,83.967224
16.5,happy,99.96184
17.0,surprise,71.53412
17.5,happy,78.8228
18.0,happy,96.74861
18.5,happy,96.54202
19.0,happy,96.15333
19.5,happy,83.81374
20.0,happy,98.11096
20.5,happy,98.752975
21.0,happy,98.632645
21.5,fear,63.589542
22.0,fear,77.99709
22.5,happy,97.92724
23.0,surprise,73.18511
23.5,happy,99.26152
24.0,happy,54.795555
24.5,happy,96.771805
25.0,happy,64.41371
25.5,neutral,86.1507
26.0,happy,99.0094
26.5,happy,82.7055
27.0,happy,43.244267
27.5,surprise,87.85702
28.0,surprise,94.54202
28.5,happy,97.950005
29.0,happy,95.12652
29.5,surprise,84.359665
30.0,happy,78.221725
30.5,sad,59.894424
31.0,happy,98.29624
31.5,happy,70.67839
32.0,happy,94.22625
32.5,neutral,78.78612
33.0,happy,99.62912
33.5,happy,99.35969
34.0,happy,90.60525
34.5,fear,94.890305
35.0,neutral,84.363266
35.5,happy,92.053925
36.0,neutral,66.77193
36.5,happy,94.442474
37.0,happy,97.36535
37.5,happy,99.995575
38.0,happy,98.41329
38.5,happy,55.480152
39.0,happy,86.40753
39.5,happy,99.59272
40.0,happy,99.371666
