frame,timestamp_sec,emotion,confidence
0,0.0,happy,98.76
15,0.5,fear,31.31
30,1.0,happy,93.17
45,1.5,fear,93.1
60,2.0,happy,96.04
75,2.5,neutral,94.04
90,3.0,happy,85.47
105,3.5,happy,82.38
120,4.0,happy,99.65
135,4.5,neutral,58.99
150,5.0,happy,99.24
165,5.5,happy,63.79
180,6.0,happy,78.2
195,6.5,neutral,83.69
210,7.0,fear,70.09
225,7.5,neutral,87.94
240,8.0,surprise,94.17
255,8.5,happy,72.13
270,9.0,happy,74.5
285,9.5,angry,41.03
300,10.0,happy,99.82
315,10.5,neutral,87.82
330,11.0,happy,90.84
345,11.5,neutral,77.18
360,12.0,neutral,65.77
375,12.5,fear,95.49
390,13.0,fear,36.94
405,13.5,surprise,56.36
420,14.0,happy,65.86
435,14.5,happy,90.39
450,15.0,fear,93.32
465,15.5,happy,83.76
480,16.0,happy,83.97
495,16.5,happy,99.96
510,17.0,surprise,71.53
525,17.5,happy,78.82
540,18.0,happy,96.75
555,18.5,happy,96.54
570,19.0,happy,96.15
585,19.5,happy,83.81
600,20.0,happy,98.11
615,20.5,happy,98.75
630,21.0,happy,98.63
645,21.5,fear,63.59
660,22.0,fear,78.0
675,22.5,happy,97.93
690,23.0,surprise,73.19
705,23.5,happy,99.26
720,24.0,happy,54.8
735,24.5,happy,96.77
750,25.0,happy,64.41
765,25.5,neutral,86.15
780,26.0,happy,99.01
795,26.5,happy,82.71
810,27.0,happy,43.24
825,27.5,surprise,87.86
840,28.0,surprise,94.54
855,28.5,happy,97.95
870,29.0,happy,95.13
885,29.5,angry,48.25
900,30.0,happy,78.22
915,30.5,sad,59.89
930,31.0,happy,98.3
945,31.5,happy,70.68
960,32.0,happy,94.23
975,32.5,neutral,78.79
990,33.0,happy,99.63
1005,33.5,happy,99.36
1020,34.0,happy,90.61
1035,34.5,fear,94.89
1050,35.0,neutral,84.36
1065,35.5,happy,92.05
1080,36.0,surprise,62.9
1095,36.5,happy,94.44
1110,37.0,happy,97.37
1125,37.5,happy,100.0
1140,38.0,happy,98.41
1155,38.5,happy,55.48
1170,39.0,happy,86.41
1185,39.5,happy,99.59
1200,40.0,happy,99.37
